                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 4.9022,                 3.9518,                 3.2845,                      0,                      0,                      0,                      0,                 6.9095,                  8.533,                 4.2803,             0.00048825,             0.00048825,             0.00048825
                     12,                 4.9671,                 3.8733,                 3.0838,                      0,                      0,                      0,                      0,                 6.9135,                 8.5801,                 4.3102,              0.0005092,              0.0005092,              0.0005092
                     13,                  4.819,                 4.0031,                 3.0409,                      0,                      0,                      0,                      0,                 6.9158,                 8.6049,                 4.3274,             0.00052685,             0.00052685,             0.00052685
                     14,                 4.9459,                 3.6226,                 2.9651,                      0,                      0,                      0,                      0,                 6.9208,                 8.6432,                 4.3642,              0.0005412,              0.0005412,              0.0005412
                     15,                 4.3508,                  3.499,                 2.8262,                      0,                      0,                      0,                      0,                  6.924,                  8.666,                 4.3874,             0.00055225,             0.00055225,             0.00055225
                     16,                 3.9696,                 3.5163,                 2.6936,                      0,                      0,                      0,                      0,                 6.9303,                 8.6916,                 4.4357,                0.00056,                0.00056,                0.00056
                     17,                 4.1088,                 3.7105,                 2.7168,                      0,                      0,                      0,                      0,                 6.9328,                 8.6791,                 4.4548,             0.00056445,             0.00056445,             0.00056445
                     18,                 4.3418,                 3.1722,                 2.4514,                      0,                      0,                      0,                      0,                 6.9352,                 8.6387,                 4.4728,              0.0005656,              0.0005656,              0.0005656
                     19,                 3.8056,                 3.2271,                 2.5357,                      0,                      0,                      0,                      0,                 6.9368,                  8.591,                 4.4848,             0.00056345,             0.00056345,             0.00056345
                     20,                 4.1016,                 3.1933,                 2.4438,                      0,                      0,                      0,                      0,                 6.9395,                 8.5636,                 4.5046,               0.000558,               0.000558,               0.000558
                     21,                 4.0024,                 3.0258,                 2.4484,                      0,                      0,                      0,                      0,                 6.9424,                 8.5383,                 4.5277,             0.00054925,             0.00054925,             0.00054925
                     22,                 3.6954,                 2.8001,                 2.2879,                      0,                      0,                      0,                      0,                 6.9442,                 8.4736,                 4.5401,              0.0005372,              0.0005372,              0.0005372
                     23,                 3.6728,                 3.1142,                 2.1465,                      0,                      0,                      0,                      0,                 6.9423,                 8.3371,                 4.5197,             0.00052185,             0.00052185,             0.00052185
                     24,                 3.4209,                 2.7457,                 2.2272,                      0,                      0,                      0,                      0,                 6.9413,                 8.2678,                 4.5095,              0.0005032,              0.0005032,              0.0005032
                     25,                 3.8551,                 2.9844,                  2.189,                      0,                      0,                      0,                      0,                 6.9379,                 8.1183,                 4.4822,             0.00048125,             0.00048125,             0.00048125
                     26,                 3.7627,                  2.851,                 2.3473,                      0,                      0,                      0,                      0,                 6.9389,                 8.0824,                 4.4912,               0.000456,               0.000456,               0.000456
                     27,                 3.5841,                 3.0712,                  2.238,                      0,                      0,                      0,                      0,                 6.9419,                 8.0799,                 4.5185,             0.00042745,             0.00042745,             0.00042745
                     28,                 3.1891,                 2.6347,                 2.3769,                      0,                      0,                      0,                      0,                 6.9419,                 8.0799,                 4.5185,              0.0003956,              0.0003956,              0.0003956
                     29,                 3.4024,                 2.5655,                 2.0339,                      0,                      0,                      0,                      0,                 6.9447,                 8.1106,                 4.5444,             0.00036045,             0.00036045,             0.00036045
                     30,                 3.5849,                  2.891,                 2.0147,                      0,                      0,                      0,                      0,                 6.9469,                 8.1883,                 4.5648,               0.000322,               0.000322,               0.000322
                     31,                 3.4647,                 3.0057,                 2.1874,                      0,                      0,                      0,                      0,                 6.9454,                 8.1427,                 4.5559,             0.00028025,             0.00028025,             0.00028025
                     32,                  3.258,                  2.681,                 2.0592,                      0,                      0,                      0,                      0,                 6.9454,                 8.1427,                 4.5559,              0.0002352,              0.0002352,              0.0002352
                     33,                  3.277,                 2.5204,                 2.0862,                      0,                      0,                      0,                      0,                 6.9425,                 8.0788,                 4.5349,               0.000185,               0.000185,               0.000185
                     34,                 3.3519,                 2.6345,                 1.9003,                      0,                      0,                      0,                      0,                  6.936,                 7.9128,                 4.4866,               0.000185,               0.000185,               0.000185
                     35,                  3.354,                 2.6057,                 2.0704,                      0,                      0,                      0,                      0,                 6.9239,                 7.6227,                 4.4047,                0.00013,                0.00013,                0.00013
